City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
996,Province of Brindisi,40.58,17.67,64.4,77,20,12.75,IT,1604078030
999,Tulcea,45.17,28.8,55.4,93,90,12.75,RO,1604078031
1006,Kalabo,-14.97,22.68,83.91,25,49,1.07,ZM,1604078032
1012,Makkah al Mukarramah,21.43,39.83,78.3,61,0,2.08,SA,1604078034
1018,Timrå,62.49,17.33,39.2,80,66,4.7,SE,1604078035
1025,Taoudenni,22.68,-3.98,89.01,12,100,9.4,ML,1604078036
1027,Carutapera,-1.2,-46.02,88.3,54,29,10.96,BR,1604078037
1032,Bridlington,54.08,-0.19,55.4,87,100,5.82,GB,1604078038
1040,Mitsamiouli,-11.38,43.28,79.3,74,20,8.48,KM,1604078040
1047,Eina,60.63,10.6,39,98,64,4.12,NO,1604078041
1048,Karoi,-16.81,29.69,77.18,29,1,6.78,ZW,1604078042
1052,Salamiyah,35.01,37.05,68.36,52,98,5.86,SY,1604078043
1057,Angoche,-16.23,39.91,79.84,74,0,9.98,MZ,1604078044
1060,Igrim,63.19,64.42,34.95,94,92,7.56,RU,1604078045
1063,Anloga,5.79,0.9,86,70,40,9.17,GH,1604078045
1065,Knyaginino,55.82,45.03,39.13,84,99,7.78,RU,1604078046
1068,Richards Bay,-28.78,32.04,68.88,84,83,15.26,ZA,1604078047
1085,Jaisinghnagar,23.7,81.38,64.9,45,3,1.25,IN,1604078051
1086,Bentiu,9.23,29.83,79.54,67,98,4.32,SS,1604078051
1087,Pozo Colorado,-23.49,-58.8,82.06,39,40,7.87,PY,1604078051
1089,Andenes,69.31,16.12,35.6,74,40,18.34,NO,1604078051
1093,Koson,39.04,65.58,50,27,0,6.93,UZ,1604078053
1101,Olinda,-8.01,-34.86,86,66,75,11.41,BR,1604077785
1104,Vila Velha,-20.33,-40.29,84.2,70,40,17.22,BR,1604077813
1110,Koygorodok,60.45,51,32.74,94,69,8.19,RU,1604078056
1112,Sokol'skoye,57.14,43.16,41.99,84,56,9.89,RU,1604078056
1114,Chicama,-7.84,-79.15,60.8,87,90,6.93,PE,1604077591
1117,Banamba,13.55,-7.45,93.27,16,21,8.28,ML,1604078057
1118,Santa Lucía,27.91,-15.54,77,50,0,10.29,ES,1604078058
1123,Bathsheba,13.22,-59.52,80.6,88,75,21.92,BB,1604078059
1125,Frankfort,-27.27,28.48,77.58,24,100,6.04,ZA,1604078059
1129,Cherdyn',60.4,56.48,30.24,98,73,7.36,RU,1604078060
1132,Mwinilunga,-11.74,24.43,73.92,47,70,3.36,ZM,1604078061
1137,Aasiaat,68.71,-52.87,18.27,96,98,3.42,GL,1604078062
1144,Caravelas,-17.71,-39.25,83.05,61,32,12.75,BR,1604078063
1152,Duartina,-22.41,-49.4,78.03,61,82,17.45,BR,1604078065
1153,Gouré,13.98,10.27,90,18,3,5.99,NE,1604077540
1154,Mbini,1.57,9.61,86,74,40,8.05,GQ,1604078066
1164,Nyāmti,14.15,75.58,71.19,82,68,3.4,IN,1604078068
1168,Soyo,-6.13,12.37,78.35,83,85,9.51,AO,1604077888
1174,Sonqor,34.78,47.6,59,10,0,2.24,IR,1604078070
1182,Harper,4.38,-7.72,81.55,78,31,7.25,LR,1604078071
1183,Belmonte,-15.86,-38.88,82.4,69,40,18.34,BR,1604078072
1193,Mirante do Paranapanema,-22.29,-51.91,78.8,57,75,18.34,BR,1604078075
1198,Bafoulabé,13.81,-10.83,98.56,12,11,5.46,ML,1604078077
1205,Bengkulu,-3.8,102.27,76.26,88,99,4.94,ID,1604078079
1207,Iranshahr,27.2,60.68,77,8,0,6.93,IR,1604078079
